,RN,Year,Population,Source
0,Hispanic USB,2001,3158048,IPUMS
1,Hispanic FB,2001,4529757,IPUMS
2,White USB,2001,11309767,IPUMS
3,White FB,2001,1357487,IPUMS
4,Black USB,2001,1390044,IPUMS
5,Black FB,2001,108627,IPUMS
6,Asian USB,2001,593201,IPUMS
7,Asian FB,2001,2474978,IPUMS
8,Other USB,2001,511322,IPUMS
9,Other FB,2001,101669,IPUMS
10,Hispanic USB,2002,3303507,IPUMS
11,Hispanic FB,2002,4741697,IPUMS
12,White USB,2002,11422970,IPUMS
13,White FB,2002,1416665,IPUMS
14,Black USB,2002,1386878,IPUMS
15,Black FB,2002,126026,IPUMS
16,Asian USB,2002,683854,IPUMS
17,Asian FB,2002,2650668,IPUMS
18,Other USB,2002,536195,IPUMS
19,Other FB,2002,120532,IPUMS
20,Hispanic USB,2003,3531305,IPUMS
21,Hispanic FB,2003,4751627,IPUMS
22,White USB,2003,11559796,IPUMS
23,White FB,2003,1402908,IPUMS
24,Black USB,2003,1472544,IPUMS
25,Black FB,2003,97096,IPUMS
26,Asian USB,2003,700998,IPUMS
27,Asian FB,2003,2700110,IPUMS
28,Other USB,2003,488907,IPUMS
29,Other FB,2003,94910,IPUMS
30,Hispanic USB,2004,3586798,IPUMS
31,Hispanic FB,2004,4856356,IPUMS
32,White USB,2004,11531046,IPUMS
33,White FB,2004,1379288,IPUMS
34,Black USB,2004,1453519,IPUMS
35,Black FB,2004,121539,IPUMS
36,Asian USB,2004,737920,IPUMS
37,Asian FB,2004,2774694,IPUMS
38,Other USB,2004,499941,IPUMS
39,Other FB,2004,87259,IPUMS
40,Hispanic USB,2005,3644472,IPUMS
41,Hispanic FB,2005,5006900,IPUMS
42,White USB,2005,11382338,IPUMS
43,White FB,2005,1391550,IPUMS
44,Black USB,2005,1476006,IPUMS
45,Black FB,2005,109719,IPUMS
46,Asian USB,2005,797685,IPUMS
47,Asian FB,2005,2837882,IPUMS
48,Other USB,2005,515006,IPUMS
49,Other FB,2005,109370,IPUMS
50,Hispanic USB,2006,4012969,IPUMS
51,Hispanic FB,2006,5182884,IPUMS
52,White USB,2006,11755679,IPUMS
53,White FB,2006,1444384,IPUMS
54,Black USB,2006,1587476,IPUMS
55,Black FB,2006,123963,IPUMS
56,Asian USB,2006,864310,IPUMS
57,Asian FB,2006,2899060,IPUMS
58,Other USB,2006,576042,IPUMS
59,Other FB,2006,112172,IPUMS
60,Hispanic USB,2007,4068536,IPUMS
61,Hispanic FB,2007,5306860,IPUMS
62,White USB,2007,11794578,IPUMS
63,White FB,2007,1409618,IPUMS
64,Black USB,2007,1608958,IPUMS
65,Black FB,2007,125086,IPUMS
66,Asian USB,2007,850268,IPUMS
67,Asian FB,2007,2943283,IPUMS
68,Other USB,2007,582644,IPUMS
69,Other FB,2007,110917,IPUMS
70,Hispanic USB,2008,4401521,IPUMS
71,Hispanic FB,2008,5150558,IPUMS
72,White USB,2008,11740850,IPUMS
73,White FB,2008,1452792,IPUMS
74,Black USB,2008,1608281,IPUMS
75,Black FB,2008,134415,IPUMS
76,Asian USB,2008,881907,IPUMS
77,Asian FB,2008,2958688,IPUMS
78,Other USB,2008,613356,IPUMS
79,Other FB,2008,111661,IPUMS
80,Hispanic USB,2009,4477645,IPUMS
81,Hispanic FB,2009,5213507,IPUMS
82,White USB,2009,11632910,IPUMS
83,White FB,2009,1463874,IPUMS
84,Black USB,2009,1589199,IPUMS
85,Black FB,2009,135269,IPUMS
86,Asian USB,2009,890838,IPUMS
87,Asian FB,2009,2996005,IPUMS
88,Other USB,2009,628701,IPUMS
89,Other FB,2009,104808,IPUMS
90,Hispanic USB,2010,4847272,IPUMS
91,Hispanic FB,2010,5278499,IPUMS
92,White USB,2010,11469487,IPUMS
93,White FB,2010,1429071,IPUMS
94,Black USB,2010,1621421,IPUMS
95,Black FB,2010,125827,IPUMS
96,Asian USB,2010,996010,IPUMS
97,Asian FB,2010,3143043,IPUMS
98,Other USB,2010,624105,IPUMS
99,Other FB,2010,166706,IPUMS
100,Hispanic USB,2011,5112667,IPUMS
101,Hispanic FB,2011,5268426,IPUMS
102,White USB,2011,11450364,IPUMS
103,White FB,2011,1444860,IPUMS
104,Black USB,2011,1607646,IPUMS
105,Black FB,2011,140945,IPUMS
106,Asian USB,2011,995633,IPUMS
107,Asian FB,2011,3225859,IPUMS
108,Other USB,2011,641239,IPUMS
109,Other FB,2011,177404,IPUMS
110,Hispanic USB,2012,5290961,IPUMS
111,Hispanic FB,2012,5255900,IPUMS
112,White USB,2012,11415048,IPUMS
113,White FB,2012,1491440,IPUMS
114,Black USB,2012,1615565,IPUMS
115,Black FB,2012,144594,IPUMS
116,Asian USB,2012,1050637,IPUMS
117,Asian FB,2012,3282970,IPUMS
118,Other USB,2012,685694,IPUMS
119,Other FB,2012,182785,IPUMS
120,Hispanic USB,2013,5456581,IPUMS
121,Hispanic FB,2013,5281856,IPUMS
122,White USB,2013,11439643,IPUMS
123,White FB,2013,1468376,IPUMS
124,Black USB,2013,1628421,IPUMS
125,Black FB,2013,146905,IPUMS
126,Asian USB,2013,1104583,IPUMS
127,Asian FB,2013,3328593,IPUMS
128,Other USB,2013,701117,IPUMS
129,Other FB,2013,177278,IPUMS
130,Hispanic USB,2014,5658177,IPUMS
131,Hispanic FB,2014,5357959,IPUMS
132,White USB,2014,11421472,IPUMS
133,White FB,2014,1468756,IPUMS
134,Black USB,2014,1626528,IPUMS
135,Black FB,2014,138907,IPUMS
136,Asian USB,2014,1187708,IPUMS
137,Asian FB,2014,3431026,IPUMS
138,Other USB,2014,736101,IPUMS
139,Other FB,2014,180018,IPUMS
